"imdb_title_id","title","original_title","year","date_published","genre","duration","country","language_1","language_2","language_3","director","writer","actors","actors_1","actors_f2","description","desc35","avg_vote","votes","usa_gross_income","worlwide_gross_income","reviews_from_users","budget","profit"
"tt0831387","Godzilla","Godzilla",2014,"2014-05-15","Action, Adventure, Sci-Fi",123,"USA, Japan","English","Japanese","","Gareth Edwards","Ishirô Honda, Takeo Murata","Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston, Elizabeth Olsen, Carson Bolde, Sally Hawkins, Juliette Binoche, David Strathairn, Richard T. Jones, Victor Rasuk, Patrick Sabongui, Jared Keeso, Luc Roderique, James Pizzinato","Aaron Taylor-Johnson","Aaron Taylor-Johnson","The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.","The world is beset by the appearance",6.4,369814,200.676069,524.976069,1643,160,364.976069
"tt0834001","Underworld - La ribellione dei Lycans","Underworld: Rise of the Lycans",2009,"2009-02-20","Action, Fantasy, Thriller",92,"USA, New Zealand","English","","","Patrick Tatopoulos","Danny McBride, Dirk Blackman","Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh, Kevin Grevioux, David Aston, Geraldine Brophy, Leighton Cardno, Alex Carroll, Elizabeth Hawthorne, Jason Hood, Mark Mitchinson, Tania Nolan, Craig Parker, Timothy Raby","Michael Sheen","Michael Sheen, Bill Nighy","An origins story centered on the centuries-old feud between the race of aristocratic vampires and their onetime slaves, the Lycans.","An origins story centered on the",6.6,148885,45.802315,92.158961,190,35,57.158961
"tt0837562","Hotel Transylvania","Hotel Transylvania",2012,"2012-11-08","Animation, Comedy, Family",91,"USA","English","","","Genndy Tartakovsky","Peter Baynham, Robert Smigel","Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Fran Drescher, Steve Buscemi, Molly Shannon, David Spade, CeeLo Green, Jon Lovitz, Brian George, Luenell, Brian Stack, Chris Parnell, Jackie Sandler","Adam Sandler","Adam Sandler, Andy Samberg","Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.","Dracula, who operates a high-end",7.1,218566,148.313048,358.375603,226,85,273.375603
"tt0838221","Il treno per il Darjeeling","The Darjeeling Limited",2007,"2008-04-30","Adventure, Comedy, Drama",91,"USA","English","Hindi","German","Wes Anderson","Wes Anderson, Roman Coppola","Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan, Wallace Wolodarsky, Waris Ahluwalia, Irrfan Khan, Barbet Schroeder, Camilla Rutherford, Bill Murray, Anjelica Huston, A.P. Singh, Kumar Pallana, Dalpat Singh, Trudy Matthys","Owen Wilson","Owen Wilson, Adrien Brody","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.","A year after their father's funeral,",7.2,176784,11.902715,35.307949,319,16,19.307949
"tt0838283","Fratellastri a 40 anni","Step Brothers",2008,"2008-10-24","Comedy",98,"USA","English","Spanish","","Adam McKay","Will Ferrell, Adam McKay","Will Ferrell, John C. Reilly, Mary Steenburgen, Richard Jenkins, Adam Scott, Kathryn Hahn, Andrea Savage, Lurie Poston, Elizabeth Yozamp, Logan Manus, Travis T. Flory, Lili Rose McKay, Shira Piven, Seth Morris, Wayne Federman","Will Ferrell","Will Ferrell, John C. Reilly","Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.","Two aimless middle-aged losers",6.9,263102,100.468793,128.107642,352,65,63.107642
"tt0840361","The Town","The Town",2010,"2010-10-08","Crime, Drama, Thriller",125,"USA","English","","","Ben Affleck","Peter Craig, Ben Affleck","Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Blake Lively, Slaine, Owen Burke, Titus Welliver, Pete Postlethwaite, Chris Cooper, Dennis McLaughlin, Corena Chase, Brian Scannell, Kerri Dunbar, Tony V.","Ben Affleck","Ben Affleck, Rebecca Hall","A longtime thief, planning his next job, tries to balance his feelings for a bank manager connected to an earlier heist, and a hell-bent F.B.I Agent looking to bring him and his crew down.","A longtime thief, planning his",7.5,344976,92.186262,154.026136,510,37,117.026136
"tt0842926","I ragazzi stanno bene","The Kids Are All Right",2010,"2011-03-04","Comedy, Drama, Romance",106,"USA, France","English","","","Lisa Cholodenko","Lisa Cholodenko, Stuart Blumberg","Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson, Yaya DaCosta, Kunal Sharma, Eddie Hassell, Zosia Mamet, Joaquín Garrido, Rebecca Lawrence Levy, Lisa Eisner, Eric Eisner, Sasha Spielberg, James MacDonald","Julianne Moore","Julianne Moore, Annette Bening","Two children conceived by artificial insemination bring their biological father into their non-traditional family life.","Two children conceived by artificial",7,124375,20.811365,34.758951,309,4,30.758951
"tt0844471","Piovono polpette","Cloudy with a Chance of Meatballs",2009,"2009-12-23","Animation, Adventure, Comedy",90,"USA","English","French","Spanish","Phil Lord, Christopher Miller","Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker, Lauren Graham, Will Forte, Max Neuwirth, Peter Siragusa, Angela Shelton","Bill Hader","Bill Hader, Anna Faris","A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.","A local scientist is often regarded",6.9,200180,124.870275,243.006126,189,100,143.006126
"tt0844708","L'ultima casa a sinistra","The Last House on the Left",2009,"2009-03-13","Horror, Thriller",110,"USA, UK","English","","","Dennis Iliadis","Adam Alleca, Carl Ellsworth","Garret Dillahunt, Michael Bowen, Josh Coxx, Riki Lindhome, Aaron Paul, Sara Paxton, Monica Potter, Tony Goldwyn, Martha MacIsaac, Spencer Treat Clark, Usha Khan","Garret Dillahunt","Garret Dillahunt, Michael Bowen","After kidnapping and brutally assaulting two young women, a gang unknowingly finds refuge at a vacation home belonging to the parents of one of the victims: a mother and father who devise an increasingly gruesome series of revenge tactics.","After kidnapping and brutally",6.5,84103,32.752215,45.995223,334,15,30.995223
"tt0848228","The Avengers","The Avengers",2012,"2012-04-25","Action, Adventure, Sci-Fi",143,"USA","English","Russian","Hindi","Joss Whedon","Joss Whedon, Zak Penn","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson, Gwyneth Paltrow, Paul Bettany, Alexis Denisof, Tina Benko","Robert Downey Jr.","Robert Downey Jr., Chris Evans","Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.","Earth's mightiest heroes must",8,1241220,623.35791,1518.814206,1934,220,1298.814206
