"imdb_title_id","title","original_title","year","date_published","genre","duration","country","language_1","language_2","language_3","director","writer","actors","actors_1","actors_2","description","desc35","avg_vote","votes","usa_gross_income","worlwide_gross_income","reviews_from_users","budget","profit","success_rating_0_10","month_published","num_films","month"
"tt0434409","V per Vendetta","V for Vendetta",2005,"2006-03-17","Action",132,"USA","English","","","James McTeigue","Lilly Wachowski","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt, Tim Pigott-Smith, Rupert Graves, Roger Allam, Ben Miles, Sinéad Cusack, Natasha Wightman, John Standing, Eddie Marsan, Clive Ashborn, Emma Field-Rayner","Natalie Portman"," Hugo Weaving","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","In a future British tyranny, a",8.2,1009729,70.511,132.511,2220,54,78.511,3.972,"March",1,"03"
"tt0434409","V per Vendetta","V for Vendetta",2005,"2006-03-17","Drama",132,"USA","English","","","James McTeigue","Lilly Wachowski","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt, Tim Pigott-Smith, Rupert Graves, Roger Allam, Ben Miles, Sinéad Cusack, Natasha Wightman, John Standing, Eddie Marsan, Clive Ashborn, Emma Field-Rayner","Natalie Portman"," Hugo Weaving","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","In a future British tyranny, a",8.2,1009729,70.511,132.511,2220,54,78.511,3.972,"March",1,"03"
"tt0434409","V per Vendetta","V for Vendetta",2005,"2006-03-17","Sci-Fi",132,"USA","English","","","James McTeigue","Lilly Wachowski","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt, Tim Pigott-Smith, Rupert Graves, Roger Allam, Ben Miles, Sinéad Cusack, Natasha Wightman, John Standing, Eddie Marsan, Clive Ashborn, Emma Field-Rayner","Natalie Portman"," Hugo Weaving","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","In a future British tyranny, a",8.2,1009729,70.511,132.511,2220,54,78.511,3.972,"March",1,"03"
"tt0435625","The Descent - Discesa nelle tenebre","The Descent",2005,"2005-10-21","Adventure",99,"UK","English","","","Neil Marshall","Neil Marshall","Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder, MyAnna Buring, Nora-Jane Noone, Oliver Milburn, Molly Kayll, Craig Conway, Leslie Simpson, Mark Cronfield, Stephen Lamb, Catherine Dyson, Julie Ellis, Sophie Trott","Shauna Macdonald"," Natalie Mendoza","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.","A caving expedition goes horribly",7.2,196964,26.024,57.13,1233,6.37,50.76,1.634,"October",1,"10"
"tt0435625","The Descent - Discesa nelle tenebre","The Descent",2005,"2005-10-21","Horror",99,"UK","English","","","Neil Marshall","Neil Marshall","Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder, MyAnna Buring, Nora-Jane Noone, Oliver Milburn, Molly Kayll, Craig Conway, Leslie Simpson, Mark Cronfield, Stephen Lamb, Catherine Dyson, Julie Ellis, Sophie Trott","Shauna Macdonald"," Natalie Mendoza","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.","A caving expedition goes horribly",7.2,196964,26.024,57.13,1233,6.37,50.76,1.634,"October",1,"10"
"tt0435625","The Descent - Discesa nelle tenebre","The Descent",2005,"2005-10-21","Thriller",99,"UK","English","","","Neil Marshall","Neil Marshall","Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder, MyAnna Buring, Nora-Jane Noone, Oliver Milburn, Molly Kayll, Craig Conway, Leslie Simpson, Mark Cronfield, Stephen Lamb, Catherine Dyson, Julie Ellis, Sophie Trott","Shauna Macdonald"," Natalie Mendoza","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.","A caving expedition goes horribly",7.2,196964,26.024,57.13,1233,6.37,50.76,1.634,"October",1,"10"
"tt0435651","The Giver - Il mondo di Jonas","The Giver",2014,"2014-09-11","Drama",97,"South Africa","English","","","Phillip Noyce","Michael Mitnick","Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård, Katie Holmes, Odeya Rush, Cameron Monaghan, Taylor Swift, Emma Tremblay, Alexander Jillings, James Jillings, Jordan Nicholas Smal, Saige Fernandes, Renate Stuurman, Vanessa Cooke","Jeff Bridges"," Meryl Streep","In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.","In a seemingly perfect community,",6.5,110327,45.09,66.98,342,25,41.98,0.729,"September",1,"09"
"tt0435651","The Giver - Il mondo di Jonas","The Giver",2014,"2014-09-11","Romance",97,"South Africa","English","","","Phillip Noyce","Michael Mitnick","Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård, Katie Holmes, Odeya Rush, Cameron Monaghan, Taylor Swift, Emma Tremblay, Alexander Jillings, James Jillings, Jordan Nicholas Smal, Saige Fernandes, Renate Stuurman, Vanessa Cooke","Jeff Bridges"," Meryl Streep","In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.","In a seemingly perfect community,",6.5,110327,45.09,66.98,342,25,41.98,0.729,"September",1,"09"
"tt0435651","The Giver - Il mondo di Jonas","The Giver",2014,"2014-09-11","Sci-Fi",97,"South Africa","English","","","Phillip Noyce","Michael Mitnick","Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård, Katie Holmes, Odeya Rush, Cameron Monaghan, Taylor Swift, Emma Tremblay, Alexander Jillings, James Jillings, Jordan Nicholas Smal, Saige Fernandes, Renate Stuurman, Vanessa Cooke","Jeff Bridges"," Meryl Streep","In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.","In a seemingly perfect community,",6.5,110327,45.09,66.98,342,25,41.98,0.729,"September",1,"09"
"tt0435761","Toy Story 3 - La grande fuga","Toy Story 3",2010,"2010-07-07","Animation",103,"USA","English","Spanish","","Lee Unkrich","John Lasseter","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton","Tom Hanks"," Tim Allen","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","The toys are mistakenly delivered",8.3,739717,415.005,1066.97,893,200,866.97,5.702,"July",1,"07"
